Top 100 classes:
=================================================
  idx |      val | possibility | class name
-------------------------------------------------
  285 |   20.207 |      96.382 | Egyptian cat
  281 |   16.137 |       1.646 | tabby
  282 |   15.734 |       1.100 | tiger cat
  287 |   14.791 |       0.428 | lynx
  728 |   14.412 |       0.293 | plastic bag
  330 |   12.730 |       0.055 | wood rabbit
  331 |   12.194 |       0.032 | hare
  457 |   10.937 |       0.009 | bow tie
  335 |   10.672 |       0.007 | fox squirrel
  463 |   10.568 |       0.006 | bucket
  478 |   10.319 |       0.005 | carton
  876 |   10.286 |       0.005 | tub
  622 |   10.180 |       0.004 | lens cap
  904 |   10.008 |       0.004 | window screen
  700 |    9.556 |       0.002 | paper towel
  278 |    9.395 |       0.002 | kit fox
    8 |    9.287 |       0.002 | hen
  284 |    9.212 |       0.002 | Siamese cat
  722 |    8.802 |       0.001 | ping-pong ball
  434 |    8.768 |       0.001 | bath towel
  452 |    8.710 |       0.001 | bonnet
  289 |    8.308 |       0.001 | snow leopard
  753 |    8.303 |       0.001 | radiator
  681 |    8.115 |       0.001 | notebook
  673 |    8.037 |       0.000 | mouse
  840 |    8.034 |       0.000 | swab
  773 |    7.935 |       0.000 | saltshaker
  782 |    7.897 |       0.000 | screen
  896 |    7.707 |       0.000 | washbasin
   44 |    7.697 |       0.000 | alligator lizard
  719 |    7.691 |       0.000 | piggy bank
  138 |    7.681 |       0.000 | bustard
  998 |    7.571 |       0.000 | ear
  543 |    7.519 |       0.000 | dumbbell
  451 |    7.488 |       0.000 | bolo tie
  283 |    7.402 |       0.000 | Persian cat
  272 |    7.323 |       0.000 | coyote
  999 |    7.269 |       0.000 | toilet tissue
  769 |    7.233 |       0.000 | rule
  713 |    7.141 |       0.000 | photocopier
  760 |    7.118 |       0.000 | refrigerator
  474 |    7.083 |       0.000 | cardigan
  534 |    6.992 |       0.000 | dishwasher
  797 |    6.935 |       0.000 | sleeping bag
  552 |    6.930 |       0.000 | feather boa
  793 |    6.927 |       0.000 | shower cap
  322 |    6.917 |       0.000 | ringlet
  288 |    6.910 |       0.000 | leopard
  750 |    6.908 |       0.000 | quilt
  897 |    6.837 |       0.000 | washer
   36 |    6.829 |       0.000 | terrapin
  326 |    6.759 |       0.000 | lycaenid
  723 |    6.754 |       0.000 | pinwheel
    7 |    6.719 |       0.000 | cock
  333 |    6.655 |       0.000 | hamster
  519 |    6.652 |       0.000 | crate
  588 |    6.645 |       0.000 | hamper
  883 |    6.543 |       0.000 | vase
  725 |    6.503 |       0.000 | pitcher
  438 |    6.457 |       0.000 | beaker
  469 |    6.367 |       0.000 | caldron
  350 |    6.357 |       0.000 | ibex
  968 |    6.279 |       0.000 | cup
  280 |    6.254 |       0.000 | grey fox
  290 |    6.219 |       0.000 | jaguar
   83 |    6.176 |       0.000 | prairie chicken
  680 |    6.146 |       0.000 | nipple
   41 |    6.133 |       0.000 | whiptail
  572 |    6.129 |       0.000 | goblet
  742 |    6.068 |       0.000 | printer
  359 |    6.034 |       0.000 | black-footed ferret
  353 |    6.010 |       0.000 | gazelle
  937 |    5.964 |       0.000 | broccoli
  862 |    5.937 |       0.000 | torch
  286 |    5.906 |       0.000 | cougar
  504 |    5.864 |       0.000 | coffee mug
  855 |    5.814 |       0.000 | thimble
  332 |    5.737 |       0.000 | Angora
  400 |    5.733 |       0.000 | academic gown
  845 |    5.693 |       0.000 | syringe
   38 |    5.682 |       0.000 | banded gecko
  271 |    5.629 |       0.000 | red wolf
  357 |    5.611 |       0.000 | mink
   47 |    5.601 |       0.000 | African chameleon
  869 |    5.578 |       0.000 | trench coat
  584 |    5.566 |       0.000 | hair slide
  298 |    5.450 |       0.000 | mongoose
  761 |    5.390 |       0.000 | remote control
  470 |    5.381 |       0.000 | candle
  636 |    5.360 |       0.000 | mailbag
  620 |    5.351 |       0.000 | laptop
  268 |    5.315 |       0.000 | Mexican hairless
  273 |    5.306 |       0.000 | dingo
  514 |    5.277 |       0.000 | cowboy boot
  596 |    5.254 |       0.000 | hatchet
  885 |    5.236 |       0.000 | velvet
  929 |    5.231 |       0.000 | ice lolly
  899 |    5.224 |       0.000 | water jug
  473 |    5.197 |       0.000 | can opener
  377 |    5.146 |       0.000 | marmoset
=================================================
